# χ_ent(t) = -ln(Σ_s |⟨s|ψ(t)⟩|^4)  Fock-basis IPR averaged over 20/20 random Fock initial states
# C(t) = (4/L) Σ_k [⟨n_k n_{k+1}⟩ - ⟨n_k⟩⟨n_{k+1}⟩]  connected NN density correlator; T=∞ plateau = -1/(L-1) = -0.06666666666666667
# L=16  N=8  t_hop=1.0  V=1.0  tp=0.0  Vp=0.0  rng_seed=42
# ln(D) = 9.462654300590172  (ergodic ceiling: χ_ent → ln(D) - ln(2) ≈ 8.769507120030227 for thermalizing system)
time,chi_ent_mean,chi_ent_std,C_mean,C_std
0.0000,-0.00000000,0.00000000,-0.00000000,0.00000000
0.0050,0.00041000,0.00008307,-0.00005125,0.00001038
0.0100,0.00163995,0.00033227,-0.00020494,0.00004152
0.0150,0.00368973,0.00074761,-0.00046095,0.00009336
0.0200,0.00655915,0.00132909,-0.00081904,0.00016585
0.0250,0.01024792,0.00207674,-0.00127890,0.00025888
0.0300,0.01475568,0.00299056,-0.00184013,0.00037235
0.0350,0.02008200,0.00407056,-0.00250223,0.00050610
0.0400,0.02622634,0.00531677,-0.00326462,0.00065996
0.0450,0.03318809,0.00672921,-0.00412663,0.00083374
0.0500,0.04096657,0.00830789,-0.00508750,0.00102720
0.0550,0.04956100,0.01005284,-0.00614639,0.00124010
0.0600,0.05897051,0.01196407,-0.00730237,0.00147216
0.0650,0.06919414,0.01404160,-0.00855442,0.00172309
0.0700,0.08023086,0.01628546,-0.00990144,0.00199255
0.0750,0.09207953,0.01869565,-0.01134226,0.00228021
0.0800,0.10473892,0.02127219,-0.01287561,0.00258569
0.0850,0.11820770,0.02401507,-0.01450016,0.00290859
0.0900,0.13248444,0.02692430,-0.01621448,0.00324850
0.0950,0.14756763,0.02999986,-0.01801708,0.00360498
0.1000,0.16345563,0.03324173,-0.01990638,0.00397758
0.1050,0.18014671,0.03664988,-0.02188075,0.00436580
0.1100,0.19763901,0.04022427,-0.02393846,0.00476915
0.1150,0.21593059,0.04396484,-0.02607774,0.00518711
0.1200,0.23501935,0.04787150,-0.02829671,0.00561914
0.1250,0.25490312,0.05194418,-0.03059347,0.00606469
0.1300,0.27557955,0.05618275,-0.03296602,0.00652317
0.1350,0.29704621,0.06058707,-0.03541233,0.00699400
0.1400,0.31930050,0.06515698,-0.03793028,0.00747657
0.1450,0.34233972,0.06989228,-0.04051771,0.00797026
0.1500,0.36616098,0.07479276,-0.04317239,0.00847443
0.1550,0.39076129,0.07985816,-0.04589206,0.00898843
0.1600,0.41613746,0.08508818,-0.04867439,0.00951161
0.1650,0.44228618,0.09048249,-0.05151700,0.01004328
0.1700,0.46920396,0.09604071,-0.05441749,0.01058277
0.1750,0.49688713,0.10176241,-0.05737337,0.01112938
0.1800,0.52533184,0.10764711,-0.06038217,0.01168240
0.1850,0.55453408,0.11369429,-0.06344132,0.01224113
0.1900,0.58448961,0.11990335,-0.06654826,0.01280485
0.1950,0.61519403,0.12627363,-0.06970037,0.01337283
0.2000,0.64664269,0.13280440,-0.07289502,0.01394435
0.2050,0.67883075,0.13949488,-0.07612953,0.01451866
0.2100,0.71175314,0.14634417,-0.07940122,0.01509504
0.2150,0.74540454,0.15335133,-0.08270736,0.01567274
0.2200,0.77977941,0.16051528,-0.08604523,0.01625103
0.2250,0.81487193,0.16783489,-0.08941208,0.01682917
0.2300,0.85067603,0.17530890,-0.09280513,0.01740641
0.2350,0.88718536,0.18293596,-0.09622162,0.01798201
0.2400,0.92439328,0.19071459,-0.09965875,0.01855525
0.2450,0.96229286,0.19864319,-0.10311375,0.01912538
0.2500,1.00087684,0.20672004,-0.10658381,0.01969169
0.2550,1.04013765,0.21494327,-0.11006615,0.02025345
0.2600,1.08006739,0.22331087,-0.11355797,0.02080995
0.2650,1.12065780,0.23182069,-0.11705650,0.02136048
0.2700,1.16190025,0.24047041,-0.12055896,0.02190435
0.2750,1.20378574,0.24925752,-0.12406258,0.02244085
0.2800,1.24630489,0.25817936,-0.12756461,0.02296933
0.2850,1.28944788,0.26723308,-0.13106233,0.02348911
0.2900,1.33320449,0.27641562,-0.13455300,0.02399953
0.2950,1.37756407,0.28572373,-0.13803396,0.02449997
0.3000,1.42251549,0.29515392,-0.14150251,0.02498978
0.3050,1.46804716,0.30470251,-0.14495603,0.02546837
0.3100,1.51414702,0.31436555,-0.14839191,0.02593513
0.3150,1.56080248,0.32413888,-0.15180755,0.02638950
0.3200,1.60800044,0.33401806,-0.15520041,0.02683091
0.3250,1.65572728,0.34399840,-0.15856799,0.02725882
0.3300,1.70396881,0.35407493,-0.16190782,0.02767272
0.3350,1.75271027,0.36424242,-0.16521746,0.02807210
0.3400,1.80193633,0.37449531,-0.16849453,0.02845649
0.3450,1.85163104,0.38482778,-0.17173669,0.02882543
0.3500,1.90177786,0.39523369,-0.17494164,0.02917848
0.3550,1.95235960,0.40570657,-0.17810715,0.02951525
0.3600,2.00335845,0.41623965,-0.18123102,0.02983535
0.3650,2.05475593,0.42682582,-0.18431112,0.03013842
0.3700,2.10653290,0.43745764,-0.18734536,0.03042413
0.3750,2.15866956,0.44812735,-0.19033171,0.03069218
0.3800,2.21114542,0.45882684,-0.19326822,0.03094229
0.3850,2.26393929,0.46954764,-0.19615297,0.03117421
0.3900,2.31702931,0.48028098,-0.19898412,0.03138773
0.3950,2.37039292,0.49101772,-0.20175989,0.03158267
0.4000,2.42400689,0.50174839,-0.20447857,0.03175886
0.4050,2.47784727,0.51246322,-0.20713851,0.03191618
0.4100,2.53188947,0.52315209,-0.20973811,0.03205453
0.4150,2.58610821,0.53380457,-0.21227588,0.03217388
0.4200,2.64047758,0.54440994,-0.21475037,0.03227418
0.4250,2.69497101,0.55495720,-0.21716019,0.03235545
0.4300,2.74956135,0.56543508,-0.21950406,0.03241774
0.4350,2.80422086,0.57583206,-0.22178074,0.03246112
0.4400,2.85892125,0.58613640,-0.22398907,0.03248573
0.4450,2.91363371,0.59633616,-0.22612798,0.03249172
0.4500,2.96832897,0.60641924,-0.22819645,0.03247929
0.4550,3.02297733,0.61637338,-0.23019355,0.03244868
0.4600,3.07754874,0.62618624,-0.23211842,0.03240016
0.4650,3.13201279,0.63584541,-0.23397027,0.03233406
0.4700,3.18633887,0.64533842,-0.23574840,0.03225075
0.4750,3.24049613,0.65465284,-0.23745218,0.03215061
0.4800,3.29445365,0.66377630,-0.23908105,0.03203413
0.4850,3.34818044,0.67269651,-0.24063452,0.03190177
0.4900,3.40164555,0.68140133,-0.24211220,0.03175411
0.4950,3.45481816,0.68987882,-0.24351375,0.03159171
0.5000,3.50766766,0.69811728,-0.24483891,0.03141524
0.5050,3.56016373,0.70610529,-0.24608752,0.03122538
0.5100,3.61227642,0.71383178,-0.24725945,0.03102287
0.5150,3.66397628,0.72128608,-0.24835468,0.03080851
0.5200,3.71523443,0.72845792,-0.24937325,0.03058316
0.5250,3.76602263,0.73533755,-0.25031527,0.03034770
0.5300,3.81631341,0.74191573,-0.25118092,0.03010311
0.5350,3.86608016,0.74818380,-0.25197046,0.02985040
0.5400,3.91529717,0.75413370,-0.25268422,0.02959065
0.5450,3.96393978,0.75975804,-0.25332259,0.02932497
0.5500,4.01198441,0.76505010,-0.25388603,0.02905456
0.5550,4.05940866,0.77000391,-0.25437507,0.02878067
0.5600,4.10619139,0.77461422,-0.25479030,0.02850459
0.5650,4.15231275,0.77887657,-0.25513238,0.02822767
0.5700,4.19775429,0.78278732,-0.25540202,0.02795132
0.5750,4.24249898,0.78634361,-0.25560002,0.02767701
0.5800,4.28653126,0.78954344,-0.25572722,0.02740622
0.5850,4.32983709,0.79238565,-0.25578450,0.02714052
0.5900,4.37240395,0.79486992,-0.25577284,0.02688147
0.5950,4.41422092,0.79699679,-0.25569324,0.02663068
0.6000,4.45527862,0.79876766,-0.25554676,0.02638978
0.6050,4.49556930,0.80018474,-0.25533453,0.02616042
0.6100,4.53508676,0.80125111,-0.25505772,0.02594421
0.6150,4.57382640,0.80197066,-0.25471754,0.02574279
0.6200,4.61178515,0.80234806,-0.25431525,0.02555773
0.6250,4.64896150,0.80238880,-0.25385216,0.02539060
0.6300,4.68535543,0.80209908,-0.25332962,0.02524286
0.6350,4.72096840,0.80148587,-0.25274902,0.02511593
0.6400,4.75580327,0.80055682,-0.25211179,0.02501112
0.6450,4.78986430,0.79932024,-0.25141939,0.02492961
0.6500,4.82315705,0.79778507,-0.25067333,0.02487247
0.6550,4.85568834,0.79596086,-0.24987515,0.02484061
0.6600,4.88746620,0.79385767,-0.24902639,0.02483480
0.6650,4.91849980,0.79148612,-0.24812867,0.02485562
0.6700,4.94879935,0.78885726,-0.24718358,0.02490347
0.6750,4.97837609,0.78598259,-0.24619279,0.02497858
0.6800,5.00724216,0.78287397,-0.24515795,0.02508098
0.6850,5.03541057,0.77954361,-0.24408075,0.02521053
0.6900,5.06289510,0.77600403,-0.24296289,0.02536689
0.6950,5.08971026,0.77226797,-0.24180608,0.02554956
0.7000,5.11587118,0.76834840,-0.24061207,0.02575787
0.7050,5.14139356,0.76425845,-0.23938260,0.02599102
0.7100,5.16629362,0.76001138,-0.23811941,0.02624805
0.7150,5.19058801,0.75562054,-0.23682427,0.02652788
0.7200,5.21429372,0.75109930,-0.23549894,0.02682937
0.7250,5.23742808,0.74646108,-0.23414519,0.02715123
0.7300,5.26000866,0.74171924,-0.23276479,0.02749216
0.7350,5.28205322,0.73688708,-0.23135951,0.02785076
0.7400,5.30357964,0.73197782,-0.22993111,0.02822563
0.7450,5.32460590,0.72700452,-0.22848135,0.02861531
0.7500,5.34515002,0.72198011,-0.22701198,0.02901834
0.7550,5.36522999,0.71691729,-0.22552474,0.02943327
0.7600,5.38486376,0.71182855,-0.22402137,0.02985864
0.7650,5.40406919,0.70672614,-0.22250359,0.03029302
0.7700,5.42286400,0.70162200,-0.22097310,0.03073498
0.7750,5.44126575,0.69652778,-0.21943158,0.03118315
0.7800,5.45929182,0.69145479,-0.21788070,0.03163616
0.7850,5.47695933,0.68641396,-0.21632212,0.03209271
0.7900,5.49428517,0.68141584,-0.21475746,0.03255151
0.7950,5.51128598,0.67647059,-0.21318833,0.03301133
0.8000,5.52797806,0.67158790,-0.21161629,0.03347098
0.8050,5.54437743,0.66677703,-0.21004291,0.03392932
0.8100,5.56049977,0.66204674,-0.20846971,0.03438525
0.8150,5.57636040,0.65740532,-0.20689817,0.03483771
0.8200,5.59197431,0.65286052,-0.20532977,0.03528569
0.8250,5.60735609,0.64841957,-0.20376593,0.03572824
0.8300,5.62251999,0.64408916,-0.20220805,0.03616443
0.8350,5.63747983,0.63987540,-0.20065749,0.03659340
0.8400,5.65224908,0.63578388,-0.19911557,0.03701431
0.8450,5.66684079,0.63181956,-0.19758360,0.03742638
0.8500,5.68126762,0.62798685,-0.19606280,0.03782888
0.8550,5.69554183,0.62428958,-0.19455441,0.03822109
0.8600,5.70967527,0.62073099,-0.19305957,0.03860235
0.8650,5.72367938,0.61731373,-0.19157944,0.03897205
0.8700,5.73756523,0.61403990,-0.19011509,0.03932961
0.8750,5.75134347,0.61091103,-0.18866756,0.03967448
0.8800,5.76502434,0.60792807,-0.18723787,0.04000615
0.8850,5.77861772,0.60509148,-0.18582696,0.04032416
0.8900,5.79213306,0.60240115,-0.18443575,0.04062807
0.8950,5.80557946,0.59985650,-0.18306511,0.04091748
0.9000,5.81896560,0.59745646,-0.18171586,0.04119203
0.9050,5.83229983,0.59519948,-0.18038878,0.04145139
0.9100,5.84559008,0.59308363,-0.17908459,0.04169525
0.9150,5.85884395,0.59110651,-0.17780399,0.04192335
0.9200,5.87206864,0.58926538,-0.17654760,0.04213546
0.9250,5.88527103,0.58755715,-0.17531602,0.04233137
0.9300,5.89845762,0.58597840,-0.17410979,0.04251090
0.9350,5.91163459,0.58452540,-0.17292942,0.04267392
0.9400,5.92480775,0.58319419,-0.17177534,0.04282031
0.9450,5.93798259,0.58198056,-0.17064796,0.04294997
0.9500,5.95116427,0.58088007,-0.16954764,0.04306286
