# E0 = 19.46
time,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20
0.750000,6.4262604520e-01,5.6535530047e-01,5.3479071145e-01,4.9436493749e-01,5.2108387711e-01,4.8045897413e-01,5.2095479931e-01,4.7921883318e-01,5.2084701986e-01,4.7915920561e-01,5.2084086704e-01,4.7915276156e-01,5.2078205573e-01,4.7904291190e-01,5.1954686567e-01,4.7886613743e-01,5.0573366358e-01,4.6492047307e-01,4.3487119996e-01,3.5738336025e-01
0.800000,6.1768111668e-01,5.9209097757e-01,5.1899065083e-01,5.1867880166e-01,5.0002725448e-01,5.0136694718e-01,5.0042871587e-01,4.9980850759e-01,5.0028084429e-01,4.9972815506e-01,5.0027192972e-01,4.9971887509e-01,5.0019255482e-01,4.9956876807e-01,4.9863792503e-01,4.9991024780e-01,4.8143403337e-01,4.8071443747e-01,4.0812625758e-01,3.8234299983e-01
0.850000,5.9579265658e-01,6.1332106458e-01,5.0719528872e-01,5.3953940462e-01,4.8283935644e-01,5.1831910082e-01,4.8387806443e-01,5.1643022185e-01,4.8368926242e-01,5.1632462111e-01,4.8367547001e-01,5.1631040708e-01,4.8357098524e-01,5.1611929120e-01,4.8168387578e-01,5.1708413742e-01,4.6058884403e-01,4.9251070949e-01,3.8688012665e-01,4.0424711152e-01
0.900000,5.7725687460e-01,6.2911592173e-01,4.9913492546e-01,5.5678730010e-01,4.6959830417e-01,5.3128594618e-01,4.7132703970e-01,5.2906183498e-01,4.7109648659e-01,5.2892574965e-01,4.7107434086e-01,5.2890316248e-01,4.7093946679e-01,5.2867022041e-01,4.6871410836e-01,5.3031021369e-01,4.4335728082e-01,5.0057930856e-01,3.7106307772e-01,4.2279843716e-01
0.950000,5.6225702983e-01,6.3970321045e-01,4.9452936882e-01,5.7024307721e-01,4.6032966949e-01,5.4029531677e-01,4.6275248392e-01,5.3773517970e-01,4.6247395403e-01,5.3756176035e-01,4.6243832448e-01,5.3752572086e-01,4.6226614183e-01,5.3724457162e-01,4.5970080329e-01,5.3956365403e-01,4.2991826841e-01,5.0520052668e-01,3.6044822884e-01,4.3781270938e-01
1.000000,5.5086018196e-01,6.4544748545e-01,4.9309781059e-01,5.7974566239e-01,4.5497187760e-01,5.4544902098e-01,4.5806769451e-01,5.4255457478e-01,4.5772262389e-01,5.4233367761e-01,4.5766640174e-01,5.4227713387e-01,4.5744665954e-01,5.4192883440e-01,4.5454231596e-01,5.4490693068e-01,4.2043223227e-01,5.0665499173e-01,3.5467186492e-01,4.4922202514e-01
1.050000,5.4302038128e-01,6.4682699446e-01,4.9455748603e-01,5.8519769867e-01,4.5334728344e-01,5.4693471666e-01,4.5710743353e-01,5.4371207528e-01,4.5665860283e-01,5.4342790121e-01,4.5657218178e-01,5.4334129354e-01,4.5628892021e-01,5.4288798928e-01,4.5305132616e-01,5.4651862296e-01,4.1499582146e-01,5.0522493659e-01,3.5325658796e-01,4.5707174668e-01
1.100000,5.3858821960e-01,6.4440834231e-01,4.9861482982e-01,5.8660754340e-01,4.5514684626e-01,5.4503000970e-01,4.5961765858e-01,5.4149514443e-01,4.5900608522e-01,5.4112361289e-01,4.5887649372e-01,5.4099398665e-01,4.5850539874e-01,5.4037582594e-01,4.5495073723e-01,5.4470861178e-01,4.1360002613e-01,5.0120298633e-01,3.5563664626e-01,4.6151099501e-01
1.150000,5.3732586846e-01,6.3881994843e-01,5.0495322937e-01,5.8411950305e-01,4.5993210103e-01,5.4009868232e-01,4.6525158913e-01,5.3628513220e-01,4.6439886540e-01,5.3579161480e-01,4.6420854551e-01,5.3560138056e-01,4.6371466525e-01,5.3473893743e-01,4.5987741128e-01,5.3991598134e-01,4.1610004384e-01,4.9490438992e-01,3.6118450572e-01,4.6277760497e-01
1.200000,5.3892605703e-01,6.3072538666e-01,5.1322120354e-01,5.7802734172e-01,4.6715387582e-01,5.3258079268e-01,4.7357237537e-01,5.2854719222e-01,4.7238954698e-01,5.2788524135e-01,4.7211500880e-01,5.2761081609e-01,4.7145147624e-01,5.2641410562e-01,4.6739199580e-01,5.3269020913e-01,4.2220183386e-01,4.8667888738e-01,3.6923755768e-01,4.6117909603e-01
1.250000,5.4303301338e-01,6.2079769275e-01,5.2302413014e-01,5.6876987813e-01,4.7618400232e-01,5.2297883239e-01,4.8406202259e-01,5.1881358294e-01,4.8246449566e-01,5.1792508852e-01,4.8207528526e-01,5.1753586091e-01,4.8118349374e-01,5.1591940836e-01,4.7699266225e-01,5.2365941879e-01,4.3146653190e-01,4.7691909429e-01,3.7912385603e-01,4.5707164964e-01
1.300000,5.4926327543e-01,6.0969556497e-01,5.3392174514e-01,5.5691071487e-01,4.8635462079e-01,5.1184147466e-01,4.9613614081e-01,5.0766263576e-01,4.9406250027e-01,5.0647952282e-01,4.9352099510e-01,5.0593765673e-01,4.9233234321e-01,5.0383946789e-01,4.8813124658e-01,5.1349110154e-01,4.4333068063e-01,4.6606316922e-01,3.9018593913e-01,4.5083920446e-01
1.350000,5.5722448043e-01,5.9804212876e-01,5.4543273439e-01,5.4310625858e-01,4.9699952572e-01,4.9974539220e-01,5.0916414916e-01,4.9569535495e-01,5.0659561362e-01,4.9414261167e-01,5.0585804548e-01,4.9340408714e-01,5.0429704520e-01,4.9080520579e-01,5.0023133533e-01,5.0285085288e-01,4.5713812879e-01,4.5459041821e-01,4.0180205232e-01,4.4287457940e-01
1.400000,5.6653070427e-01,5.8640665897e-01,5.5704690736e-01,5.2806701126e-01,5.0749285940e-01,4.8727488794e-01,5.2249443122e-01,4.8351106394e-01,5.1947124547e-01,4.8151067748e-01,5.1849007798e-01,4.8052769280e-01,5.1647839320e-01,4.7746861833e-01,5.1270857993e-01,4.9236379654e-01,4.7217863823e-01,4.4300931421e-01,4.1340437417e-01,4.3356406730e-01
1.450000,5.7681354563e-01,5.7528943484e-01,5.6824468046e-01,5.1251685068e-01,5.1728174197e-01,4.7499907518e-01,5.3548345987e-01,4.7168310614e-01,5.3211490109e-01,4.6915841106e-01,5.3084235790e-01,4.6788293829e-01,5.2830326128e-01,4.6447357250e-01,5.2499351879e-01,4.8258207803e-01,4.8772850532e-01,4.3183817136e-01,4.2449407712e-01,4.2327631250e-01
1.500000,5.8772882051e-01,5.6510978642e-01,5.7852283955e-01,4.9715408860e-01,5.2591068446e-01,4.6344707791e-01,5.4752717255e-01,4.6073548457e-01,5.4399291421e-01,4.5761548910e-01,5.4238516121e-01,4.5600348253e-01,5.3924794957e-01,4.5242436296e-01,5.3655643734e-01,4.7396055399e-01,5.0308943031e-01,4.2157947908e-01,4.3465317655e-01,4.1235560858e-01
1.550000,5.9895934265e-01,5.5619739325e-01,5.8742474734e-01,4.8261696453e-01,5.3303667780e-01,4.5308283301e-01,5.5809213044e-01,4.5112142840e-01,5.5463420257e-01,4.4734483109e-01,5.5265552375e-01,4.4536042477e-01,5.4885957778e-01,4.4185451498e-01,5.4693267077e-01,4.6684176562e-01,5.1762299367e-01,4.1268971701e-01,4.4355312388e-01,4.0111913673e-01
1.600000,6.1021472766e-01,5.4878697702e-01,5.9457232002e-01,4.6945523289e-01,5.3843471468e-01,4.4428205250e-01,5.6674351888e-01,4.4320503631e-01,5.6364971711e-01,4.3872383930e-01,5.6127600848e-01,4.3634285617e-01,5.5677438381e-01,4.3319878440e-01,5.5574576332e-01,4.6145043300e-01,5.3077909038e-01,4.0554732736e-01,4.5096001772e-01,3.8985719902e-01
1.650000,6.2122942669e-01,5.4301664210e-01,5.9969633624e-01,4.5810878797e-01,5.4199431363e-01,4.3731430727e-01,5.7316704939e-01,4.3724719478e-01,5.7074805727e-01,4.3203002212e-01,5.6796908942e-01,4.2924224340e-01,5.6273173925e-01,4.2677129360e-01,5.6272549237e-01,4.5789690883e-01,5.4211737554e-01,4.0042229473e-01,4.5673619337e-01,3.7883523203e-01
