# χ_ent(t) = -ln(Σ_s |⟨s|ψ(t)⟩|^4)  Fock-basis IPR averaged over 20/20 random Fock initial states
# C(t) = (4/L) Σ_k [⟨n_k n_{k+1}⟩ - ⟨n_k⟩⟨n_{k+1}⟩]  connected NN density correlator; T=∞ plateau = -1/(L-1) = -0.09090909090909091
# L=12  N=6  t_hop=1.0  V=1.0  tp=0.3  Vp=0.3  rng_seed=42
# ln(D) = 6.828712071641684  (ergodic ceiling: χ_ent → ln(D) - ln(2) ≈ 6.135564891081739 for thermalizing system)
time,chi_ent_mean,chi_ent_std,C_mean,C_std
0.0000,-0.00000000,0.00000000,-0.00000000,0.00000000
0.0050,0.00036240,0.00006324,-0.00005500,0.00001067
0.0100,0.00144956,0.00025298,-0.00021993,0.00004267
0.0150,0.00326139,0.00056922,-0.00049466,0.00009595
0.0200,0.00579774,0.00101198,-0.00087893,0.00017046
0.0250,0.00905838,0.00158129,-0.00137238,0.00026609
0.0300,0.01304303,0.00227718,-0.00197457,0.00038272
0.0350,0.01775135,0.00309970,-0.00268494,0.00052020
0.0400,0.02318293,0.00404889,-0.00350285,0.00067836
0.0450,0.02933728,0.00512481,-0.00442754,0.00085700
0.0500,0.03621387,0.00632752,-0.00545817,0.00105588
0.0550,0.04381209,0.00765708,-0.00659381,0.00127476
0.0600,0.05213124,0.00911358,-0.00783340,0.00151336
0.0650,0.06117059,0.01069707,-0.00917583,0.00177136
0.0700,0.07092930,0.01240765,-0.01061987,0.00204845
0.0750,0.08140648,0.01424539,-0.01216420,0.00234427
0.0800,0.09260116,0.01621039,-0.01380741,0.00265844
0.0850,0.10451226,0.01830273,-0.01554802,0.00299056
0.0900,0.11713867,0.02052251,-0.01738443,0.00334021
0.0950,0.13047917,0.02286980,-0.01931499,0.00370695
0.1000,0.14453244,0.02534469,-0.02133793,0.00409031
0.1050,0.15929709,0.02794729,-0.02345143,0.00448980
0.1100,0.17477164,0.03067765,-0.02565357,0.00490491
