# PBC momentum-sector ED  L=17 N=6 t=1.0 V=1.0 tp=0.96 Vp=0.96  O=n_2*n_3 (1-indexed)
sector,energy,O_expval
0,-14.7360576420,0.0730828066
0,-10.6515895034,0.0880678743
0,-8.3797940755,0.0979138256
0,-7.8152788051,0.0822961415
0,-7.8034624587,0.0853509745
0,-7.5977712104,0.1164606338
0,-7.0758245646,0.0664911765
0,-6.8628131803,0.0878850092
0,-6.5414520857,0.1092789691
0,-6.5323444975,0.0938747205
0,-6.3473421677,0.0955483131
0,-6.2618009887,0.0958597445
0,-6.1178475628,0.0556687520
0,-5.8529645982,0.0693528641
0,-5.6927134428,0.0822378828
0,-5.6219980347,0.0766526651
0,-5.3308400920,0.0912003222
0,-5.2244453878,0.0857399836
0,-5.0943626562,0.0804403255
0,-5.0852012274,0.0955844404
0,-5.0369070540,0.1109020194
0,-4.9893122796,0.1050461972
0,-4.9592835781,0.1104840475
0,-4.7000769166,0.0777406420
0,-4.6875849176,0.1124548168
0,-4.5963339248,0.0923928859
0,-4.5022574855,0.0990644570
0,-4.3787217738,0.0708439404
0,-4.3741524526,0.0785945831
0,-4.1686561668,0.1052913813
0,-4.0988420438,0.0989196444
0,-4.0061429045,0.0854905585
0,-3.9992000784,0.0845528675
0,-3.9205873478,0.0901684638
0,-3.8875057705,0.0997616558
0,-3.7364452515,0.1029929435
0,-3.6369350814,0.0908482593
0,-3.5821094667,0.0960504968
0,-3.4746313732,0.0935260740
0,-3.4246357479,0.0890426981
0,-3.4207449419,0.1010857368
0,-3.3788029848,0.0857194036
0,-3.3323034813,0.0898615720
0,-3.2732413526,0.0866688179
0,-3.2722350661,0.0776505677
0,-3.2154298621,0.0781799759
0,-3.1519691692,0.0913493241
0,-3.0827136777,0.0946916055
0,-3.0542323489,0.0861944279
0,-3.0157277302,0.0927755195
0,-2.9318583280,0.1050060639
0,-2.9193591091,0.0836790342
0,-2.7760351317,0.1049045869
0,-2.7475025289,0.0900653876
0,-2.6599074717,0.0829215904
0,-2.6551058248,0.0898256019
0,-2.6405517757,0.0922874755
0,-2.5576470784,0.0928024449
0,-2.5503777487,0.0936423515
0,-2.5020389865,0.1012655672
0,-2.3774696740,0.0947132577
0,-2.3731562075,0.0932180589
0,-2.3359657385,0.0993912023
0,-2.3217047100,0.0972575617
