# χ_ent(t) = -ln(Σ_s |⟨s|ψ(t)⟩|^4)  Fock-basis IPR averaged over 20 random Fock initial states
# L=12  N=6  t_hop=1.0  V=1.0  tp=0.3  Vp=0.0  rng_seed=42
# ln(D) = 6.828712071641684  (ergodic ceiling: χ_ent → ln(D) - ln(2) ≈ 6.135564891081739 for thermalizing system)
time,chi_ent_mean,chi_ent_std
0.0000,-0.00000000,0.00000000
0.5000,3.07274758,0.54957509
1.0000,4.42444863,0.32335744
1.5000,5.22806750,0.34530889
2.0000,5.39766688,0.25706049
2.5000,5.71628000,0.20472887
3.0000,5.83157646,0.14828491
3.5000,5.93407349,0.14647775
4.0000,5.97757471,0.15708181
4.5000,5.96631875,0.13933508
5.0000,6.01496042,0.09838842
5.5000,6.01087519,0.07916252
6.0000,6.02168370,0.07308424
6.5000,5.97666704,0.10098110
7.0000,6.00686032,0.08337627
7.5000,6.00301565,0.10393116
8.0000,6.01193025,0.09718417
8.5000,6.00154646,0.08757721
9.0000,6.00940160,0.09237612
9.5000,6.01675335,0.08185449
10.0000,5.98070082,0.08721996
10.5000,6.00439390,0.08408528
11.0000,5.99436492,0.09493825
11.5000,6.00979043,0.07932972
12.0000,5.96818085,0.08050658
12.5000,6.03025846,0.08659047
13.0000,5.98890998,0.10427232
13.5000,6.01928424,0.06838879
14.0000,6.01662585,0.08873324
14.5000,5.95282969,0.14168137
15.0000,5.91035564,0.12829733
15.5000,5.98380038,0.08574681
16.0000,6.00786812,0.05185108
16.5000,5.96685051,0.08395434
17.0000,6.03660537,0.06444162
17.5000,6.04073735,0.07438692
18.0000,6.01982245,0.04900551
18.5000,6.01227731,0.08326754
19.0000,6.01160958,0.06961314
19.5000,6.00535000,0.05293419
20.0000,6.01206278,0.07727453
20.5000,6.02564881,0.08853558
21.0000,6.00429482,0.08895887
21.5000,5.97577892,0.09956692
22.0000,5.96192998,0.08594878
22.5000,5.97871916,0.10044698
23.0000,6.01505733,0.07400850
23.5000,6.00524906,0.07128115
24.0000,6.03078137,0.08446394
24.5000,6.01836061,0.09223977
25.0000,5.97277819,0.09591374
25.5000,5.97717025,0.09666314
26.0000,5.99924095,0.07551410
26.5000,6.01569374,0.07062252
27.0000,6.03221165,0.08557399
27.5000,5.99958767,0.07394004
28.0000,5.99716466,0.10744216
28.5000,6.01021370,0.08030179
29.0000,6.02408111,0.05321527
29.5000,6.01592192,0.09988584
30.0000,5.99340581,0.08112975
