# χ_ent(t) = -ln(Σ_s |⟨s|ψ(t)⟩|^4)  Fock-basis IPR averaged over 20/20 random Fock initial states
# C(t) = (4/L) Σ_k [⟨n_k n_{k+1}⟩ - ⟨n_k⟩⟨n_{k+1}⟩]  connected NN density correlator; T=∞ plateau = -1/(L-1) = -0.07692307692307693
# L=14  N=7  t_hop=1.0  V=1.0  tp=0.3  Vp=0.3  rng_seed=42
# ln(D) = 8.140898460607852  (ergodic ceiling: χ_ent → ln(D) - ln(2) ≈ 7.447751280047907 for thermalizing system)
time,chi_ent_mean,chi_ent_std,C_mean,C_std
0.0000,-0.00000000,0.00000000,-0.00000000,0.00000000
0.0050,0.00043965,0.00007650,-0.00005785,0.00001149
0.0100,0.00175855,0.00030599,-0.00023135,0.00004596
0.0150,0.00395662,0.00068850,-0.00052034,0.00010335
0.0200,0.00703367,0.00122406,-0.00092453,0.00018358
0.0250,0.01098947,0.00191269,-0.00144354,0.00028654
0.0300,0.01582371,0.00275444,-0.00207688,0.00041209
0.0350,0.02153600,0.00374937,-0.00282393,0.00056004
0.0400,0.02812590,0.00489755,-0.00368398,0.00073020
0.0450,0.03559289,0.00619904,-0.00465621,0.00092232
0.0500,0.04393635,0.00765394,-0.00573969,0.00113612
0.0550,0.05315563,0.00926233,-0.00693338,0.00137132
0.0600,0.06324996,0.01102430,-0.00823615,0.00162758
0.0650,0.07421851,0.01293996,-0.00964674,0.00190454
0.0700,0.08606038,0.01500942,-0.01116382,0.00220181
0.0750,0.09877457,0.01723280,-0.01278594,0.00251897
0.0800,0.11235998,0.01961020,-0.01451155,0.00285559
0.0850,0.12681545,0.02214175,-0.01633901,0.00321118
0.0900,0.14213971,0.02482756,-0.01826658,0.00358524
0.0950,0.15833138,0.02766776,-0.02029244,0.00397726
0.1000,0.17538902,0.03066246,-0.02241465,0.00438669
0.1050,0.19331105,0.03381179,-0.02463122,0.00481294
0.1100,0.21209579,0.03711583,-0.02694003,0.00525543
0.1150,0.23174145,0.04057471,-0.02933891,0.00571353
0.1200,0.25224613,0.04418852,-0.03182560,0.00618661
0.1250,0.27360780,0.04795733,-0.03439774,0.00667399
0.1300,0.29582430,0.05188123,-0.03705292,0.00717501
0.1350,0.31889334,0.05596026,-0.03978863,0.00768896
0.1400,0.34281248,0.06019446,-0.04260232,0.00821512
0.1450,0.36757916,0.06458385,-0.04549134,0.00875276
0.1500,0.39319065,0.06912844,-0.04845299,0.00930113
0.1550,0.41964405,0.07382817,-0.05148451,0.00985946
0.1600,0.44693631,0.07868301,-0.05458307,0.01042699
0.1650,0.47506421,0.08369284,-0.05774578,0.01100292
0.1700,0.50402431,0.08885754,-0.06096972,0.01158644
0.1750,0.53381303,0.09417693,-0.06425188,0.01217676
0.1800,0.56442655,0.09965082,-0.06758926,0.01277305
0.1850,0.59586084,0.10527891,-0.07097875,0.01337448
0.1900,0.62811168,0.11106091,-0.07441725,0.01398023
0.1950,0.66117459,0.11699644,-0.07790160,0.01458946
0.2000,0.69504484,0.12308505,-0.08142861,0.01520132
0.2050,0.72971748,0.12932623,-0.08499506,0.01581497
0.2100,0.76518725,0.13571940,-0.08859770,0.01642957
0.2150,0.80144865,0.14226390,-0.09223328,0.01704427
0.2200,0.83849585,0.14895898,-0.09589848,0.01765824
0.2250,0.87632274,0.15580379,-0.09959002,0.01827062
0.2300,0.91492286,0.16279738,-0.10330457,0.01888058
0.2350,0.95428944,0.16993870,-0.10703880,0.01948729
0.2400,0.99441534,0.17722657,-0.11078938,0.02008992
0.2450,1.03529304,0.18465970,-0.11455298,0.02068766
0.2500,1.07691465,0.19223667,-0.11832625,0.02127969
0.2550,1.11927186,0.19995589,-0.12210587,0.02186521
0.2600,1.16235593,0.20781565,-0.12588851,0.02244344
0.2650,1.20615770,0.21581406,-0.12967087,0.02301359
0.2700,1.25066750,0.22394907,-0.13344965,0.02357491
0.2750,1.29587521,0.23221845,-0.13722157,0.02412664
0.2800,1.34177019,0.24061975,-0.14098337,0.02466806
0.2850,1.38834126,0.24915035,-0.14473183,0.02519844
0.2900,1.43557669,0.25780739,-0.14846374,0.02571708
0.2950,1.48346417,0.26658781,-0.15217593,0.02622332
0.3000,1.53199080,0.27548829,-0.15586527,0.02671649
0.3050,1.58114303,0.28450525,-0.15952866,0.02719594
0.3100,1.63090667,0.29363486,-0.16316303,0.02766108
0.3150,1.68126685,0.30287302,-0.16676539,0.02811130
0.3200,1.73220799,0.31221531,-0.17033275,0.02854604
0.3250,1.78371378,0.32165705,-0.17386221,0.02896475
0.3300,1.83576717,0.33119319,-0.17735090,0.02936693
0.3350,1.88835029,0.34081840,-0.18079601,0.02975207
0.3400,1.94144449,0.35052699,-0.18419479,0.03011973
0.3450,1.99503027,0.36031289,-0.18754455,0.03046947
0.3500,2.04908727,0.37016972,-0.19084267,0.03080089
0.3550,2.10359426,0.38009066,-0.19408657,0.03111361
0.3600,2.15852906,0.39006856,-0.19727377,0.03140731
0.3650,2.21386862,0.40009585,-0.20040185,0.03168167
0.3700,2.26958887,0.41016454,-0.20346844,0.03193642
0.3750,2.32566483,0.42026626,-0.20647128,0.03217132
0.3800,2.38207049,0.43039222,-0.20940816,0.03238617
0.3850,2.43877886,0.44053319,-0.21227697,0.03258080
0.3900,2.49576194,0.45067954,-0.21507565,0.03275508
0.3950,2.55299070,0.46082123,-0.21780224,0.03290890
0.4000,2.61043509,0.47094778,-0.22045487,0.03304222
0.4050,2.66806405,0.48104835,-0.22303174,0.03315502
0.4100,2.72584548,0.49111165,-0.22553114,0.03324731
0.4150,2.78374630,0.50112604,-0.22795145,0.03331915
0.4200,2.84173243,0.51107953,-0.23029115,0.03337064
0.4250,2.89976882,0.52095974,-0.23254878,0.03340193
0.4300,2.95781948,0.53075401,-0.23472300,0.03341320
0.4350,3.01584754,0.54044939,-0.23681253,0.03340467
0.4400,3.07381524,0.55003265,-0.23881622,0.03337660
0.4450,3.13168404,0.55949036,-0.24073298,0.03332932
0.4500,3.18941464,0.56880892,-0.24256183,0.03326318
0.4550,3.24696706,0.57797460,-0.24430188,0.03317857
0.4600,3.30430071,0.58697357,-0.24595232,0.03307594
0.4650,3.36137450,0.59579202,-0.24751247,0.03295579
0.4700,3.41814688,0.60441615,-0.24898170,0.03281866
0.4750,3.47457601,0.61283227,-0.25035950,0.03266513
0.4800,3.53061979,0.62102685,-0.25164545,0.03249583
0.4850,3.58623607,0.62898659,-0.25283922,0.03231146
0.4900,3.64138266,0.63669851,-0.25394058,0.03211274
0.4950,3.69601756,0.64414999,-0.25494938,0.03190045
0.5000,3.75009905,0.65132885,-0.25586557,0.03167544
0.5050,3.80358581,0.65822344,-0.25668919,0.03143858
0.5100,3.85643710,0.66482267,-0.25742037,0.03119081
0.5150,3.90861290,0.67111612,-0.25805934,0.03093311
0.5200,3.96007404,0.67709408,-0.25860641,0.03066652
0.5250,4.01078234,0.68274760,-0.25906197,0.03039212
0.5300,4.06070077,0.68806857,-0.25942651,0.03011106
0.5350,4.10979359,0.69304974,-0.25970060,0.02982453
0.5400,4.15802650,0.69768479,-0.25988489,0.02953374
0.5450,4.20536674,0.70196836,-0.25998013,0.02924000
0.5500,4.25178322,0.70589606,-0.25998713,0.02894462
0.5550,4.29724667,0.70946450,-0.25990679,0.02864897
0.5600,4.34172969,0.71267133,-0.25974009,0.02835445
0.5650,4.38520693,0.71551519,-0.25948808,0.02806251
0.5700,4.42765507,0.71799576,-0.25915189,0.02777461
0.5750,4.46905297,0.72011371,-0.25873273,0.02749224
0.5800,4.50938172,0.72187073,-0.25823185,0.02721690
0.5850,4.54862466,0.72326942,-0.25765062,0.02695010
0.5900,4.58676742,0.72431337,-0.25699043,0.02669336
0.5950,4.62379797,0.72500701,-0.25625275,0.02644816
0.6000,4.65970659,0.72535565,-0.25543913,0.02621597
0.6050,4.69448590,0.72536539,-0.25455116,0.02599823
0.6100,4.72813081,0.72504308,-0.25359049,0.02579630
0.6150,4.76063849,0.72439624,-0.25255883,0.02561149
0.6200,4.79200838,0.72343307,-0.25145794,0.02544504
0.6250,4.82224206,0.72216229,-0.25028965,0.02529807
0.6300,4.85134325,0.72059316,-0.24905581,0.02517160
0.6350,4.87931771,0.71873539,-0.24775833,0.02506653
0.6400,4.90617316,0.71659907,-0.24639917,0.02498361
0.6450,4.93191921,0.71419462,-0.24498031,0.02492344
0.6500,4.95656726,0.71153273,-0.24350380,0.02488648
0.6550,4.98013039,0.70862430,-0.24197169,0.02487300
0.6600,5.00262328,0.70548038,-0.24038610,0.02488312
0.6650,5.02406210,0.70211213,-0.23874916,0.02491677
0.6700,5.04446440,0.69853075,-0.23706302,0.02497373
0.6750,5.06384900,0.69474745,-0.23532987,0.02505359
0.6800,5.08223589,0.69077340,-0.23355192,0.02515581
0.6850,5.09964614,0.68661969,-0.23173140,0.02527967
0.6900,5.11610175,0.68229729,-0.22987057,0.02542434
0.6950,5.13162560,0.67781702,-0.22797167,0.02558885
0.7000,5.14624131,0.67318951,-0.22603699,0.02577211
0.7050,5.15997316,0.66842520,-0.22406880,0.02597295
0.7100,5.17284601,0.66353429,-0.22206941,0.02619011
0.7150,5.18488518,0.65852673,-0.22004111,0.02642227
0.7200,5.19611638,0.65341219,-0.21798619,0.02666805
0.7250,5.20656564,0.64820010,-0.21590696,0.02692604
0.7300,5.21625922,0.64289956,-0.21380570,0.02719479
0.7350,5.22522353,0.63751941,-0.21168471,0.02747286
0.7400,5.23348508,0.63206816,-0.20954628,0.02775879
0.7450,5.24107043,0.62655405,-0.20739266,0.02805113
0.7500,5.24800609,0.62098500,-0.20522612,0.02834844
0.7550,5.25431850,0.61536865,-0.20304890,0.02864933
0.7600,5.26003398,0.60971235,-0.20086323,0.02895241
