# ED: O = n_8*n_9,  L=16  N=11  t=1.0  V=1.0  tp=0.2  Vp=0.2  mu=0.0  alpha=0.0
energy,O_expval
-2.4335398938,0.3117114559
-1.8884153492,0.4785839216
-1.3974611338,0.3075931770
-1.3364523656,0.3725811255
-0.9873645615,0.4857558029
-0.8577368697,0.2028973538
-0.7991646592,0.4201973297
-0.6796026943,0.3109390320
-0.4891590388,0.4851220752
-0.4594787814,0.3996931577
-0.3406528928,0.3312674519
-0.3386950152,0.3118015730
-0.2888555535,0.3860947282
-0.1609629336,0.2128948922
0.0240304813,0.4127315361
0.0378928104,0.3740141293
0.0512463740,0.5373659865
0.1299240255,0.3975113186
0.1603016956,0.3165476224
0.1991622607,0.3360799469
0.3197339181,0.2859846962
0.3441104957,0.3618256098
0.4560082812,0.4461653026
0.4897749740,0.3694675883
0.5082879412,0.3987668352
0.5209369100,0.4326229872
0.5241870015,0.5453661643
0.5678136431,0.5070806678
0.5858901186,0.2905187108
0.6038146846,0.4135305261
0.6647916500,0.3719833943
0.6953947251,0.3251390681
0.7580620681,0.2669197661
0.7980716523,0.2140503728
0.8279432160,0.4003824936
0.8304944644,0.4132680714
0.8568879308,0.3308150032
0.9048566167,0.3747369302
0.9213722915,0.4207683969
0.9767003252,0.3997803786
0.9892914581,0.5116249868
1.0010090455,0.5084681592
1.0116386689,0.4296964926
1.0600056533,0.4673924708
1.0704220296,0.4390722027
1.1466673699,0.3299398691
1.1589047005,0.3523834153
1.1776111500,0.3722285383
1.1873560066,0.3414844695
1.1914372113,0.3153016232
1.2231349355,0.2857049706
1.2244868581,0.3599362292
1.2829534208,0.3945292804
1.2847977837,0.3002750169
1.3041305838,0.3631856623
1.3436758618,0.3473882057
1.3521978681,0.5550532904
1.3682085288,0.4735279839
1.3762773251,0.5144548511
1.4485032238,0.3982559165
1.4584741360,0.4558098681
1.4751266020,0.4832774527
1.4915051536,0.5145243855
1.4918197571,0.2899805907
1.5208858933,0.4555151275
1.5251068444,0.3977315586
1.5628389673,0.4536358965
1.5876604327,0.3899145331
1.5904702416,0.4004879868
1.6118663969,0.4521187753
1.6337813444,0.3873346142
1.6462677672,0.4019964636
1.6540430830,0.3599788930
1.6653940747,0.3868003581
1.7166880283,0.3306655702
1.7207521042,0.3314780333
1.7385998057,0.3290843053
1.7477031260,0.3360749241
1.7819613525,0.2180230921
1.7857852363,0.4123053733
1.7926065611,0.4442993563
1.8086272328,0.3495183366
1.8160041878,0.4814781333
1.8260412493,0.4074905809
1.8516025663,0.4492619239
1.8626029681,0.3705810861
1.8802798394,0.4302352912
1.9030687414,0.3962723570
1.9243644919,0.4249534932
1.9245556070,0.4023607326
1.9409822417,0.3669540316
1.9649757615,0.4193500807
1.9684865887,0.4015784570
1.9784926597,0.4176876977
1.9829629226,0.4335162909
2.0307688162,0.3799717472
2.0385337157,0.4239767771
2.0402176661,0.4366635138
2.0628341094,0.4241689798
2.0741118676,0.4245149545
2.0787774058,0.3872823920
2.0834140640,0.4227595024
2.0991565047,0.4437389389
2.1029511615,0.3252680425
2.1337171196,0.2891493666
2.1512501194,0.3681221944
2.1586131538,0.3446483454
2.1710663419,0.3240484661
2.1751309953,0.4278552629
2.2005004218,0.3355685523
2.2119842884,0.3955723350
2.2234149689,0.3483302865
2.2262949895,0.4430223250
2.2402249521,0.3917685770
2.2548000154,0.4058861761
2.2608144326,0.3137526192
2.2723433068,0.4563492498
2.2889293876,0.3393439415
2.3158205206,0.4652539249
2.3199367852,0.4211570420
2.3357900987,0.4169214678
2.3480933083,0.3904120023
2.3674902005,0.4370302131
2.3799727513,0.4825076186
2.3834822677,0.4377914268
2.3888269819,0.4227796543
2.4102098875,0.4197486990
2.4133587519,0.4411912403
2.4148483994,0.4224782124
2.4236383541,0.4586944079
2.4358329485,0.4385747968
2.4369617871,0.4382736943
2.4562447180,0.4229723973
2.4618184086,0.3972158088
2.4697352608,0.4589819333
2.4733343393,0.4215564178
2.4737425206,0.3488789160
2.4871840845,0.3772339152
2.4974842548,0.4377455273
2.5166085006,0.4001900309
2.5238779087,0.3235123890
2.5436257505,0.3727016977
2.5463455066,0.3699865723
2.5500600176,0.3114557882
2.5556410963,0.3210868914
2.5603457428,0.4228591886
2.5791897196,0.3661237250
2.5837690265,0.4533774352
2.6127636937,0.4274700197
2.6151254931,0.4177194840
2.6265950325,0.3554532918
2.6515256205,0.3702634692
2.6520450762,0.3906236918
2.6608803576,0.3934927927
2.6684101569,0.3330752430
2.6750426846,0.3607202883
2.6811566637,0.4485985371
2.7037989838,0.3176905566
2.7135657446,0.3633718064
2.7146551510,0.4113057351
2.7262988057,0.4087974708
2.7343557817,0.4511408442
2.7505597163,0.4684678143
2.7566029881,0.3537832490
2.7609833599,0.3298453858
2.7669259851,0.4047926143
2.7732946614,0.5085357757
2.7854484427,0.4720597320
2.7991035175,0.3219291477
2.8020408846,0.2924402909
2.8069093619,0.4178701060
2.8214460968,0.4282657179
2.8297603055,0.4531571292
2.8487002938,0.4578752181
2.8506682752,0.4386420553
2.8647485350,0.4015581269
2.8692506288,0.4176476937
2.8717497735,0.4047461676
2.8796549074,0.4176409860
2.8920039039,0.3524735257
2.8955374317,0.3704350258
2.9048071009,0.3961960295
2.9134860674,0.4069576508
2.9257320435,0.4218936631
2.9292429935,0.3798614248
2.9341390384,0.3295970016
2.9519522746,0.4028032330
2.9612479937,0.3629093595
2.9632342676,0.4077943686
2.9723753732,0.4093110606
2.9776367977,0.3988578194
2.9833072540,0.4091347784
2.9899616978,0.4670385346
2.9959182824,0.4246536336
3.0075093632,0.3965217423
3.0103954083,0.3890936816
3.0203207313,0.3879976140
3.0229028582,0.4390225544
3.0293688049,0.4601637798
3.0326583701,0.3651494376
3.0381776194,0.4137423080
3.0489855202,0.4319532307
3.0506953113,0.3490463473
3.0638687510,0.3846851754
3.0795376075,0.4340623428
3.0810279213,0.3193185035
3.0944854583,0.4352767028
3.0945005194,0.3959571656
3.1045825777,0.3239850516
3.1130800936,0.3662613780
3.1335610314,0.4615015352
3.1377647134,0.4745565014
3.1398339547,0.4025869800
3.1491091036,0.4219737559
3.1514512716,0.4605818587
3.1570235200,0.4060479805
3.1697874912,0.4541670772
3.1722685343,0.4919946812
3.1834846644,0.3779560200
3.1940179272,0.2977155109
3.1948546640,0.4263522940
3.1965763433,0.3591214614
3.2045618616,0.4509894800
3.2083991075,0.3667418304
3.2267269387,0.3913363191
3.2292827457,0.3781910022
3.2323089720,0.3772271742
3.2380367919,0.3998789709
3.2434263063,0.3826955460
3.2627637720,0.4816613664
3.2643002509,0.4134795110
3.2797718605,0.3449693045
3.2856094386,0.4812754664
