# χ_ent(t) = -ln(Σ_s |⟨s|ψ(t)⟩|^4)  Fock-basis IPR averaged over 20/20 random Fock initial states
# C(t) = (4/L) Σ_k [⟨n_k n_{k+1}⟩ - ⟨n_k⟩⟨n_{k+1}⟩]  connected NN density correlator; T=∞ plateau = -1/(L-1) = -0.07692307692307693
# L=14  N=7  t_hop=1.0  V=1.0  tp=0.0  Vp=0.0  rng_seed=42
# ln(D) = 8.140898460607852  (ergodic ceiling: χ_ent → ln(D) - ln(2) ≈ 7.447751280047907 for thermalizing system)
time,chi_ent_mean,chi_ent_std,C_mean,C_std
0.0000,-0.00000000,0.00000000,-0.00000000,0.00000000
0.0050,0.00040500,0.00008047,-0.00005785,0.00001149
0.0100,0.00161995,0.00032187,-0.00023136,0.00004596
0.0150,0.00364477,0.00072422,-0.00052035,0.00010335
0.0200,0.00647926,0.00128752,-0.00092457,0.00018358
0.0250,0.01012319,0.00201180,-0.00144363,0.00028655
0.0300,0.01457624,0.00289705,-0.00207706,0.00041210
0.0350,0.01983802,0.00394332,-0.00282426,0.00056006
0.0400,0.02590808,0.00515062,-0.00368455,0.00073022
0.0450,0.03278588,0.00651898,-0.00465712,0.00092236
0.0500,0.04047081,0.00804843,-0.00574107,0.00113618
0.0550,0.04896219,0.00973899,-0.00693540,0.00137141
0.0600,0.05825926,0.01159070,-0.00823901,0.00162771
0.0650,0.06836118,0.01360359,-0.00965067,0.00190471
0.0700,0.07926702,0.01577768,-0.01116910,0.00220204
0.0750,0.09097577,0.01811300,-0.01279288,0.00251928
0.0800,0.10348634,0.02060957,-0.01452052,0.00285598
0.0850,0.11679755,0.02326740,-0.01635042,0.00321168
0.0900,0.13090812,0.02608651,-0.01828090,0.00358587
0.0950,0.14581668,0.02906689,-0.02031017,0.00397805
0.1000,0.16152178,0.03220854,-0.02243637,0.00438765
0.1050,0.17802182,0.03551143,-0.02465754,0.00481411
0.1100,0.19531516,0.03897554,-0.02697165,0.00525684
0.1150,0.21339999,0.04260080,-0.02937658,0.00571521
0.1200,0.23227443,0.04638716,-0.03187012,0.00618859
0.1250,0.25193647,0.05033453,-0.03444999,0.00667633
0.1300,0.27238395,0.05444280,-0.03711384,0.00717774
0.1350,0.29361463,0.05871184,-0.03985924,0.00769213
0.1400,0.31562610,0.06314147,-0.04268369,0.00821879
0.1450,0.33841583,0.06773152,-0.04558463,0.00875698
0.1500,0.36198114,0.07248174,-0.04855943,0.00930596
0.1550,0.38631920,0.07739188,-0.05160538,0.00986498
0.1600,0.41142701,0.08246164,-0.05471975,0.01043324
0.1650,0.43730143,0.08769065,-0.05789973,0.01100999
0.1700,0.46393913,0.09307852,-0.06114244,0.01159440
0.1750,0.49133661,0.09862479,-0.06444499,0.01218569
0.1800,0.51949018,0.10432896,-0.06780441,0.01278304
0.1850,0.54839595,0.11019044,-0.07121770,0.01338563
0.1900,0.57804982,0.11620861,-0.07468182,0.01399263
0.1950,0.60844749,0.12238273,-0.07819370,0.01460320
0.2000,0.63958443,0.12871203,-0.08175021,0.01521652
0.2050,0.67145587,0.13519561,-0.08534821,0.01583174
0.2100,0.70405679,0.14183252,-0.08898454,0.01644803
0.2150,0.73738194,0.14862168,-0.09265599,0.01706455
0.2200,0.77142577,0.15556193,-0.09635935,0.01768045
0.2250,0.80618247,0.16265199,-0.10009139,0.01829491
0.2300,0.84164592,0.16989044,-0.10384885,0.01890710
0.2350,0.87780971,0.17727578,-0.10762848,0.01951618
0.2400,0.91466710,0.18480634,-0.11142702,0.02012134
0.2450,0.95221101,0.19248030,-0.11524119,0.02072177
0.2500,0.99043402,0.20029573,-0.11906772,0.02131665
0.2550,1.02932835,0.20825049,-0.12290335,0.02190521
0.2600,1.06888582,0.21634231,-0.12674481,0.02248666
0.2650,1.10909786,0.22456871,-0.13058886,0.02306022
0.2700,1.14995549,0.23292703,-0.13443226,0.02362514
0.2750,1.19144930,0.24141442,-0.13827177,0.02418068
0.2800,1.23356941,0.25002781,-0.14210422,0.02472612
0.2850,1.27630550,0.25876389,-0.14592640,0.02526073
0.2900,1.31964674,0.26761915,-0.14973517,0.02578384
0.2950,1.36358180,0.27658981,-0.15352740,0.02629477
0.3000,1.40809883,0.28567185,-0.15730000,0.02679287
0.3050,1.45318542,0.29486097,-0.16104991,0.02727751
0.3100,1.49882861,0.30415260,-0.16477411,0.02774808
0.3150,1.54501485,0.31354188,-0.16846962,0.02820399
0.3200,1.59172998,0.32302364,-0.17213351,0.02864469
0.3250,1.63895922,0.33259241,-0.17576289,0.02906963
0.3300,1.68668713,0.34224239,-0.17935492,0.02947831
0.3350,1.73489763,0.35196746,-0.18290682,0.02987024
0.3400,1.78357395,0.36176114,-0.18641585,0.03024497
0.3450,1.83269861,0.37161662,-0.18987934,0.03060208
0.3500,1.88225342,0.38152671,-0.19329467,0.03094115
