# χ_ent(t) = -ln(Σ_s |⟨s|ψ(t)⟩|^4)  Fock-basis IPR averaged over 20/20 random Fock initial states
# C(t) = (4/L) Σ_k [⟨n_k n_{k+1}⟩ - ⟨n_k⟩⟨n_{k+1}⟩]  connected NN density correlator; T=∞ plateau = -1/(L-1) = -0.09090909090909091
# L=12  N=6  t_hop=1.0  V=1.0  tp=0.0  Vp=0.0  rng_seed=42
# ln(D) = 6.828712071641684  (ergodic ceiling: χ_ent → ln(D) - ln(2) ≈ 6.135564891081739 for thermalizing system)
time,chi_ent_mean,chi_ent_std,C_mean,C_std
0.0000,-0.00000000,0.00000000,-0.00000000,0.00000000
0.0050,0.00033000,0.00006403,-0.00005500,0.00001067
0.0100,0.00131996,0.00025613,-0.00021994,0.00004267
0.0150,0.00296979,0.00057628,-0.00049467,0.00009596
0.0200,0.00527933,0.00102451,-0.00087896,0.00017046
0.0250,0.00824836,0.00160081,-0.00137246,0.00026609
0.0300,0.01187659,0.00230518,-0.00197474,0.00038273
0.0350,0.01616368,0.00313762,-0.00268526,0.00052023
0.0400,0.02110921,0.00409815,-0.00350340,0.00067840
0.0450,0.02671269,0.00518677,-0.00442842,0.00085707
0.0500,0.03297359,0.00640347,-0.00545952,0.00105599
0.0550,0.03989128,0.00774827,-0.00659577,0.00127491
0.0600,0.04746508,0.00922115,-0.00783618,0.00151357
0.0650,0.05569424,0.01082213,-0.00917965,0.00177165
0.0700,0.06457792,0.01255118,-0.01062500,0.00204884
0.0750,0.07411524,0.01440832,-0.01217095,0.00234478
0.0800,0.08430521,0.01639351,-0.01381613,0.00265909
0.0850,0.09514679,0.01850675,-0.01555911,0.00299139
0.0900,0.10663883,0.02074800,-0.01739834,0.00334126
0.0950,0.11878015,0.02311724,-0.01933221,0.00370825
0.1000,0.13156943,0.02561442,-0.02135902,0.00409189
0.1050,0.14500530,0.02823950,-0.02347700,0.00449172
0.1100,0.15908629,0.03099241,-0.02568429,0.00490722
0.1150,0.17381084,0.03387308,-0.02797896,0.00533787
0.1200,0.18917731,0.03688142,-0.03035900,0.00578313
0.1250,0.20518394,0.04001734,-0.03282234,0.00624244
0.1300,0.22182888,0.04328071,-0.03536683,0.00671522
0.1350,0.23911018,0.04667139,-0.03799026,0.00720089
0.1400,0.25702578,0.05018924,-0.04069035,0.00769883
0.1450,0.27557351,0.05383407,-0.04346475,0.00820841
0.1500,0.29475108,0.05760567,-0.04631107,0.00872901
0.1550,0.31455608,0.06150382,-0.04922684,0.00925997
0.1600,0.33498598,0.06552826,-0.05220956,0.00980062
0.1650,0.35603813,0.06967870,-0.05525665,0.01035030
0.1700,0.37770972,0.07395482,-0.05836549,0.01090831
0.1750,0.39999783,0.07835624,-0.06153341,0.01147396
0.1800,0.42289938,0.08288259,-0.06475772,0.01204655
0.1850,0.44641113,0.08753341,-0.06803565,0.01262537
0.1900,0.47052970,0.09230822,-0.07136442,0.01320969
0.1950,0.49525155,0.09720647,-0.07474120,0.01379880
0.2000,0.52057295,0.10222759,-0.07816312,0.01439196
0.2050,0.54649000,0.10737093,-0.08162729,0.01498844
0.2100,0.57299864,0.11263577,-0.08513080,0.01558750
0.2150,0.60009458,0.11802136,-0.08867070,0.01618842
0.2200,0.62777337,0.12352686,-0.09224402,0.01679044
0.2250,0.65603031,0.12915136,-0.09584779,0.01739282
0.2300,0.68486052,0.13489386,-0.09947899,0.01799484
0.2350,0.71425888,0.14075331,-0.10313462,0.01859575
0.2400,0.74422003,0.14672854,-0.10681166,0.01919483
0.2450,0.77473838,0.15281830,-0.11050707,0.01979133
0.2500,0.80580808,0.15902125,-0.11421782,0.02038454
0.2550,0.83742301,0.16533594,-0.11794088,0.02097375
0.2600,0.86957678,0.17176081,-0.12167322,0.02155823
0.2650,0.90226272,0.17829418,-0.12541180,0.02213728
0.2700,0.93547385,0.18493426,-0.12915362,0.02271021
0.2750,0.96920290,0.19167912,-0.13289566,0.02327634
0.2800,1.00344226,0.19852670,-0.13663492,0.02383498
0.2850,1.03818399,0.20547480,-0.14036844,0.02438548
0.2900,1.07341982,0.21252107,-0.14409325,0.02492718
0.2950,1.10914112,0.21966301,-0.14780642,0.02545946
0.3000,1.14533886,0.22689795,-0.15150504,0.02598168
0.3050,1.18200366,0.23422306,-0.15518624,0.02649323
0.3100,1.21912573,0.24163532,-0.15884715,0.02699353
0.3150,1.25669487,0.24913153,-0.16248496,0.02748200
0.3200,1.29470045,0.25670831,-0.16609690,0.02795808
