# PBC momentum-sector ED  L=18 N=12 t=1.0 V=1.0 tp=0.0 Vp=0.0  O=n_9*n_10 (1-indexed)
sector,energy,O_expval
0,-3.4666664832,0.3562942626
0,-1.9951352447,0.3688556614
0,-0.9170546266,0.3779780494
0,-0.6393204684,0.3797352359
0,-0.6393204684,0.3797352359
0,-0.3650647828,0.3810307889
0,-0.3474636881,0.3827817898
0,0.1744069404,0.3864866485
0,0.1744069404,0.3864866485
0,0.4365168900,0.3873895240
0,0.4365168900,0.3873895240
0,0.6883080615,0.3894650687
0,0.8839705946,0.3923450740
0,0.8839705946,0.3923450740
0,0.9408474473,0.3890735147
0,0.9408474473,0.3890735147
0,0.9569144583,0.3917881382
0,0.9569144583,0.3917881382
0,1.1032639280,0.3910031700
0,1.1032639280,0.3910031700
0,1.1859285456,0.3868026430
0,1.2450101081,0.3939231994
0,1.3059545268,0.3668550615
0,1.3059545268,0.3668550615
0,1.5434346580,0.3861768599
0,1.5434346580,0.3861768599
0,1.6667480047,0.3970564360
0,1.6667480047,0.3970564360
0,1.7290268551,0.3952501377
0,1.7290268551,0.3952501377
0,1.8362113952,0.3900474572
0,1.8362113952,0.3900474572
0,2.0855252850,0.4000329479
0,2.1185421910,0.3754781534
0,2.1185421910,0.3754781534
0,2.1421849772,0.3976356302
0,2.1421849772,0.3976356302
0,2.1972983571,0.3941206270
0,2.2282697609,0.3902501413
0,2.2282697609,0.3902501413
0,2.2786891529,0.3835245858
0,2.2786891529,0.3835245858
0,2.3195827614,0.3961791688
0,2.3195827614,0.3961791688
0,2.3467733698,0.3662079399
0,2.4157507329,0.4011365842
0,2.4157507329,0.4011365842
0,2.5286022743,0.4001418762
0,2.5286022743,0.4001418762
0,2.6341457624,0.4043196070
0,2.6659140956,0.3863625569
0,2.6659140956,0.3863625569
0,2.6720446018,0.3680939731
0,2.6720446018,0.3680939731
0,2.6836516424,0.4017059494
0,2.6836516424,0.4017059494
0,2.6956110741,0.4169771472
0,2.6956110741,0.4169771472
0,2.7317693044,0.3979905541
0,2.9627058141,0.3983420534
0,2.9627058141,0.3983420534
0,2.9881603963,0.3745580475
0,2.9881603963,0.3745580475
0,3.0036302699,0.3912607181
0,3.0036302699,0.3912607181
0,3.0433973267,0.4070826414
0,3.0433973267,0.4070826414
0,3.0934874701,0.4053059317
0,3.0934874701,0.4053059317
0,3.1361375273,0.4010249746
0,3.1361375273,0.4010249746
0,3.1500302898,0.4047444816
0,3.1500302898,0.4047444816
0,3.1682760584,0.3942759016
0,3.1682760584,0.3942759016
0,3.1686191901,0.3744241462
0,3.1686191901,0.3744241462
0,3.2387956272,0.3774509415
0,3.2701110824,0.3916871603
0,3.2701110824,0.4112242339
0,3.2701110824,0.3802039771
0,3.2701110824,0.3896714531
0,3.3844533872,0.3925770013
0,3.3844533872,0.3925770013
0,3.4137062460,0.4236428708
0,3.4137062460,0.4236428708
0,3.4559975483,0.4216955108
0,3.4559975483,0.4216955108
0,3.5375719054,0.4039553464
0,3.5940440589,0.4038882447
0,3.5940440589,0.4038882447
0,3.6032975039,0.4082462128
0,3.6032975039,0.4082462128
0,3.6080452811,0.4146963145
0,3.6080452811,0.4146963145
0,3.6358184377,0.4003812989
0,3.6358184377,0.4003812989
0,3.6561596247,0.4120978291
0,3.6899584587,0.4043139001
0,3.6899584587,0.4043139001
0,3.7058944111,0.4122126369
0,3.7058944111,0.4122126369
0,3.7072476212,0.3842992044
0,3.7103777878,0.4190993343
0,3.7103777878,0.4190993343
0,3.7163706041,0.3855432370
0,3.7163706041,0.3855432370
0,3.8525846956,0.4136398249
0,3.8525846956,0.4136398249
0,3.8632914242,0.4108218786
0,3.8632914242,0.4108218786
0,3.8807561085,0.3977317482
0,3.8807561085,0.3977317482
0,3.8811071011,0.4263280337
0,3.8811071011,0.4263280337
0,3.8850446228,0.4082527450
0,3.8850446228,0.4082527450
0,3.9436651897,0.4203010064
0,3.9436651897,0.4203010064
0,3.9754928482,0.4154720354
0,3.9754928482,0.4154720354
0,4.0439643311,0.4075449473
0,4.0439643311,0.3962026127
0,4.0439643311,0.3884163200
0,4.0439643311,0.4218645264
0,4.0639582125,0.4078062592
0,4.0645252949,0.3893104062
0,4.0645252949,0.3893104062
