# E0 = 9.610000000000001
time,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10
1.300000,5.4911372968e-01,6.0959431746e-01,5.3243464202e-01,5.5354341913e-01,4.8093051849e-01,5.1888600459e-01,4.4667496710e-01,4.6754517738e-01,3.9028778562e-01,4.5098943854e-01
1.350000,5.5699514333e-01,5.9784651460e-01,5.4361419677e-01,5.3879723229e-01,4.9139820462e-01,5.0842689657e-01,4.6141845682e-01,4.5640072871e-01,4.0199780638e-01,4.4310481992e-01
1.400000,5.6620606334e-01,5.8604274019e-01,5.5484061064e-01,5.2285296916e-01,5.0187453000e-01,4.9796368463e-01,4.7735857613e-01,4.4520329679e-01,4.1376780008e-01,4.3388972905e-01
1.450000,5.7638194444e-01,5.7465703711e-01,5.6558015371e-01,5.0657682297e-01,5.1183252545e-01,4.8802222214e-01,4.9362973946e-01,4.3448547051e-01,4.2512520796e-01,4.2370887625e-01
1.500000,5.8718350071e-01,5.6408555515e-01,5.7531067337e-01,4.9082810652e-01,5.2082580011e-01,4.7904760200e-01,5.0937290263e-01,4.2476902791e-01,4.3567524670e-01,4.1290158491e-01
1.550000,5.9829867236e-01,5.5464147653e-01,5.8355376663e-01,4.7640421891e-01,5.2850391997e-01,4.7138895615e-01,5.2379050005e-01,4.1653277783e-01,4.4510585757e-01,4.0177985401e-01
1.600000,6.0944169829e-01,5.4655208558e-01,5.8991066144e-01,4.6398911101e-01,5.3462319247e-01,4.6528882599e-01,5.3619799640e-01,4.1017656129e-01,4.5319053862e-01,3.9062932890e-01
1.650000,6.2035068343e-01,5.3995765915e-01,5.9409780443e-01,4.5411034202e-01,5.3905199128e-01,4.6087794150e-01,5.4606695793e-01,4.0598543625e-01,4.5978940274e-01,3.7971178127e-01
1.700000,6.3078497432e-01,5.3491249262e-01,5.9597715036e-01,4.4710944492e-01,5.4176923472e-01,4.5817678278e-01,5.5305489311e-01,4.0409909757e-01,4.6484815282e-01,3.6926777679e-01
1.750000,6.4052335593e-01,5.3138890721e-01,5.9557596872e-01,4.4312915324e-01,5.4285488564e-01,4.5710506144e-01,5.5701825772e-01,4.0449177670e-01,4.6839412001e-01,3.5951851340e-01
1.800000,6.4936365897e-01,5.2928526334e-01,5.9309187219e-01,4.4211907962e-01,5.4247240391e-01,4.5749921020e-01,5.5800697668e-01,4.0696697572e-01,4.7052832003e-01,3.5066623933e-01
1.850000,6.5712393350e-01,5.2843870617e-01,5.8888067310e-01,4.4385894532e-01,5.4084461063e-01,4.5913644860e-01,5.5624133833e-01,4.1116947294e-01,4.7141277647e-01,3.4289309496e-01
1.900000,6.6364499162e-01,5.2864263480e-01,5.8342722562e-01,4.4799592118e-01,5.3822586594e-01,4.6176254755e-01,5.5207467861e-01,4.1661446029e-01,4.7125309835e-01,3.3635857604e-01
1.950000,6.6879390054e-01,5.2966791216e-01,5.7730205365e-01,4.5409061907e-01,5.3487431102e-01,4.6511955655e-01,5.4594732224e-01,4.2273100367e-01,4.7027728460e-01,3.3119603651e-01
2.000000,6.7246792407e-01,5.3128590391e-01,5.7110871458e-01,4.6166523680e-01,5.3102791156e-01,4.6896975652e-01,5.3833830516e-01,4.2891484464e-01,4.6871267077e-01,3.2750873198e-01
2.050000,6.7459843565e-01,5.3329082395e-01,5.6542808059e-01,4.7024754664e-01,5.2688722453e-01,4.7311290447e-01,5.2972122738e-01,4.3458431932e-01,4.6676355731e-01,3.2536588016e-01
2.100000,6.7515440999e-01,5.3551874151e-01,5.6076586482e-01,4.7940576008e-01,5.2260651080e-01,4.7739512873e-01,5.2052924032e-01,4.3923302510e-01,4.6459218690e-01,3.2479913175e-01
2.150000,6.7414519483e-01,5.3786099349e-01,5.5750888871e-01,4.8877145959e-01,5.1829344829e-01,4.8170920391e-01,5.1113200255e-01,4.4247370745e-01,4.6230534871e-01,3.2579975247e-01
2.200000,6.7162233215e-01,5.4027052335e-01,5.5589408687e-01,4.9805024031e-01,5.1401658111e-01,4.8598706288e-01,5.0182496835e-01,4.4406935486e-01,4.5994809898e-01,3.2831675114e-01
2.250000,6.6768022579e-01,5.4276063518e-01,5.5599246305e-01,5.0702188992e-01,5.0981887978e-01,4.9018617629e-01,4.9282917294e-01,4.4394928723e-01,4.5750510742e-01,3.3225616240e-01
2.300000,6.6245544523e-01,5.4539659737e-01,5.5770849376e-01,5.1553338560e-01,5.0573528513e-01,4.9427194316e-01,4.8429821919e-01,4.4220975141e-01,4.5490917881e-01,3.3748170035e-01
2.350000,6.5612443498e-01,5.4828130855e-01,5.6079405298e-01,5.2348843626e-01,5.0181167525e-01,4.9819867338e-01,4.7632872181e-01,4.3909996317e-01,4.5205571464e-01,3.4381701898e-01
2.400000,6.4889939764e-01,5.5153678461e-01,5.6487489194e-01,5.3083674339e-01,4.9812221914e-01,5.0189221414e-01,4.6897102821e-01,4.3499557301e-01,4.4882133250e-01,3.5104981543e-01
2.450000,6.4102216591e-01,5.5528355005e-01,5.6948701718e-01,5.3756485538e-01,4.9478165769e-01,5.0523768415e-01,4.6223834550e-01,4.3036221750e-01,4.4508454420e-01,3.5893796244e-01
2.500000,6.3275600154e-01,5.5962015660e-01,5.7411986369e-01,5.4368891297e-01,4.9194899561e-01,5.0807582310e-01,4.5611399070e-01,4.2571225906e-01,4.4074626526e-01,3.6721773149e-01
