# χ_ent(t) = -ln(Σ_s |⟨s|ψ(t)⟩|^4)  Fock-basis IPR averaged over 20 random Fock initial states
# L=10  N=5  t_hop=1.0  V=1.0  tp=0.3  Vp=0.0  rng_seed=42
# ln(D) = 5.529429087511423  (ergodic ceiling: χ_ent → ln(D) - ln(2) ≈ 4.836281906951478 for thermalizing system)
time,chi_ent_mean,chi_ent_std
0.0000,-0.00000000,0.00000000
0.5000,2.78854386,0.66963759
1.0000,3.75789849,0.34473041
1.5000,4.41025558,0.37146120
2.0000,4.28325336,0.28209738
2.5000,4.52595413,0.24789102
3.0000,4.59329461,0.26458065
3.5000,4.64883767,0.28357681
4.0000,4.59544841,0.19964806
4.5000,4.41016064,0.23461307
5.0000,4.42650877,0.40086569
5.5000,4.60085629,0.18858675
6.0000,4.63642317,0.13115915
6.5000,4.57106336,0.20902926
7.0000,4.43238749,0.31337022
7.5000,4.63682304,0.27685169
8.0000,4.50991697,0.17388308
8.5000,4.72811118,0.14777398
9.0000,4.70832580,0.11662957
9.5000,4.65327411,0.15676697
10.0000,4.67726005,0.10231041
10.5000,4.57203984,0.27831280
11.0000,4.62810996,0.17299578
11.5000,4.52766904,0.28220131
12.0000,4.69958006,0.24050205
12.5000,4.62267311,0.20732013
13.0000,4.60953063,0.30085603
13.5000,4.54352635,0.30435748
14.0000,4.51965204,0.21155323
14.5000,4.68768789,0.16616175
15.0000,4.74432384,0.18555430
15.5000,4.56520762,0.17867776
16.0000,4.48478250,0.23628681
16.5000,4.58018203,0.32017393
17.0000,4.41166592,0.28121322
17.5000,4.54800708,0.19639011
18.0000,4.55242411,0.22416238
18.5000,4.44776282,0.22088281
19.0000,4.61594911,0.26701118
19.5000,4.48880582,0.43916056
20.0000,4.47207382,0.49157279
20.5000,4.57878696,0.44656226
21.0000,4.59847142,0.25717227
21.5000,4.50446190,0.10865169
22.0000,4.47164307,0.23612103
22.5000,4.65109836,0.15599995
23.0000,4.63839209,0.18998592
23.5000,4.50946334,0.25236170
24.0000,4.43102677,0.31203898
24.5000,4.40299435,0.22315966
25.0000,4.64090169,0.27604566
25.5000,4.50361511,0.34114427
26.0000,4.57391913,0.28216219
26.5000,4.62994241,0.26900755
27.0000,4.51443753,0.32128008
27.5000,4.56452552,0.23973195
28.0000,4.64364757,0.28783286
28.5000,4.70714743,0.14892199
29.0000,4.73429870,0.14063200
29.5000,4.67877785,0.14702265
30.0000,4.46708469,0.26072901
