# χ_ent(t) = -ln(Σ_s |⟨s|ψ(t)⟩|^4)  Fock-basis IPR averaged over 20 random Fock initial states
# L=14  N=7  t_hop=1.0  V=1.0  tp=0.3  Vp=0.0  rng_seed=42
# ln(D) = 8.140898460607852  (ergodic ceiling: χ_ent → ln(D) - ln(2) ≈ 7.447751280047907 for thermalizing system)
time,chi_ent_mean,chi_ent_std
0.0000,0.00000000,0.00000000
0.5000,3.72606108,0.65274139
1.0000,5.21597624,0.37942165
1.5000,6.17360069,0.42504459
2.0000,6.23607578,0.46098661
2.5000,6.79685458,0.27560368
3.0000,7.00440769,0.23620899
3.5000,7.13566286,0.19195212
4.0000,7.17880299,0.19054164
4.5000,7.20088230,0.18329600
5.0000,7.24281828,0.19295464
5.5000,7.29673591,0.11599357
6.0000,7.30691851,0.13569830
6.5000,7.29251186,0.10955387
7.0000,7.33253990,0.10117121
7.5000,7.33557828,0.10029041
8.0000,7.32830377,0.15346881
8.5000,7.32240634,0.11536144
9.0000,7.32200078,0.15301169
9.5000,7.33838334,0.16265392
10.0000,7.31656920,0.16936948
10.5000,7.34108024,0.09002694
11.0000,7.33440391,0.11613170
11.5000,7.34050520,0.10551610
12.0000,7.33557777,0.10540458
12.5000,7.34356993,0.10657158
13.0000,7.33473121,0.12245401
13.5000,7.35817541,0.10122934
14.0000,7.34085950,0.12604373
14.5000,7.34586723,0.10415009
15.0000,7.35460134,0.09645430
15.5000,7.35140868,0.11288375
16.0000,7.34340050,0.14833023
16.5000,7.35004600,0.09419769
17.0000,7.35779179,0.11802571
17.5000,7.35166423,0.09694209
18.0000,7.36106927,0.12010119
18.5000,7.36702077,0.07712391
19.0000,7.35269823,0.12711168
19.5000,7.35224494,0.08684657
20.0000,7.35256108,0.08638048
20.5000,7.36733334,0.10304179
21.0000,7.36026558,0.07738604
21.5000,7.35439730,0.08033808
22.0000,7.31804804,0.08642945
22.5000,7.34454879,0.09507146
23.0000,7.35807652,0.08023580
23.5000,7.35049183,0.08126642
24.0000,7.36374856,0.08964824
24.5000,7.36217890,0.09552156
25.0000,7.35420918,0.07864937
25.5000,7.33908207,0.11840438
26.0000,7.36144659,0.06544375
26.5000,7.32631118,0.11022654
27.0000,7.33855691,0.12810498
27.5000,7.36410834,0.09539131
28.0000,7.37873669,0.07905066
28.5000,7.36159625,0.07327638
29.0000,7.33721496,0.14821572
29.5000,7.32760048,0.10643698
30.0000,7.36217577,0.07555299
