# χ_ent(t) = -ln(Σ_s |⟨s|ψ(t)⟩|^4)  Fock-basis IPR averaged over 20/20 random Fock initial states
# C(t) = (4/L) Σ_k [⟨n_k n_{k+1}⟩ - ⟨n_k⟩⟨n_{k+1}⟩]  connected NN density correlator; T=∞ plateau = -1/(L-1) = -0.1111111111111111
# L=10  N=5  t_hop=1.0  V=1.0  tp=0.0  Vp=0.0  rng_seed=42
# ln(D) = 5.529429087511423  (ergodic ceiling: χ_ent → ln(D) - ln(2) ≈ 4.836281906951478 for thermalizing system)
time,chi_ent_mean,chi_ent_std,C_mean,C_std
0.0000,-0.00000000,0.00000000,-0.00000000,0.00000000
0.0050,0.00030500,0.00008047,-0.00006100,0.00001609
0.0100,0.00121997,0.00032187,-0.00024392,0.00006435
0.0150,0.00274484,0.00072422,-0.00054861,0.00014470
0.0200,0.00487948,0.00128751,-0.00097476,0.00025703
0.0250,0.00762373,0.00201177,-0.00152197,0.00040121
0.0300,0.01097737,0.00289700,-0.00218973,0.00057703
0.0350,0.01494013,0.00394322,-0.00297738,0.00078427
0.0400,0.01951167,0.00515045,-0.00388419,0.00102263
0.0450,0.02469164,0.00651871,-0.00490929,0.00129180
0.0500,0.03047961,0.00804802,-0.00605170,0.00159142
0.0550,0.03687508,0.00973840,-0.00731034,0.00192108
0.0600,0.04387754,0.01158986,-0.00868401,0.00228035
0.0650,0.05148638,0.01360244,-0.01017141,0.00266875
0.0700,0.05970096,0.01577613,-0.01177112,0.00308574
0.0750,0.06852057,0.01811097,-0.01348162,0.00353077
0.0800,0.07794442,0.02060695,-0.01530130,0.00400325
0.0850,0.08797169,0.02326409,-0.01722843,0.00450253
0.0900,0.09860148,0.02608236,-0.01926118,0.00502795
0.0950,0.10983280,0.02906177,-0.02139764,0.00557880
0.1000,0.12166461,0.03220229,-0.02363579,0.00615435
0.1050,0.13409580,0.03550389,-0.02597351,0.00675382
0.1100,0.14712517,0.03896651,-0.02840860,0.00737641
0.1150,0.16075144,0.04259011,-0.03093878,0.00802127
0.1200,0.17497326,0.04637459,-0.03356165,0.00868755
0.1250,0.18978917,0.05031986,-0.03627476,0.00937435
0.1300,0.20519763,0.05442580,-0.03907557,0.01008075
0.1350,0.22119700,0.05869226,-0.04196146,0.01080580
0.1400,0.23778556,0.06311907,-0.04492972,0.01154853
0.1450,0.25496146,0.06770603,-0.04797759,0.01230794
0.1500,0.27272275,0.07245291,-0.05110224,0.01308301
0.1550,0.29106737,0.07735943,-0.05430074,0.01387270
0.1600,0.30999313,0.08242529,-0.05757015,0.01467595
0.1650,0.32949771,0.08765014,-0.06090742,0.01549169
0.1700,0.34957868,0.09303359,-0.06430948,0.01631882
0.1750,0.37023346,0.09857518,-0.06777318,0.01715623
0.1800,0.39145932,0.10427441,-0.07129535,0.01800280
0.1850,0.41325338,0.11013073,-0.07487274,0.01885738
0.1900,0.43561260,0.11614351,-0.07850209,0.01971884
0.1950,0.45853379,0.12231207,-0.08218007,0.02058602
0.2000,0.48201356,0.12863564,-0.08590333,0.02145775
0.2050,0.50604835,0.13511339,-0.08966849,0.02233287
0.2100,0.53063440,0.14174438,-0.09347215,0.02321019
0.2150,0.55576777,0.14852761,-0.09731085,0.02408856
0.2200,0.58144427,0.15546196,-0.10118116,0.02496678
